meeting_date,dissent_text
2015-09-17,"Jeffrey M. Lacker, who preferred to raise the target range for the federal funds rate by 25 basis points at this meeting."
2015-10-28,"Jeffrey M. Lacker, who preferred to raise the target range for the federal funds rate by 25 basis points at this meeting."
2016-03-16,"Esther L. George, who preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent."
2016-04-27,"Esther L. George, who preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent."
2016-07-27,"Esther L. George, who preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent."
2016-09-21,"Esther L. George, Loretta J. Mester, and Eric Rosengren, each of whom preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent."
2016-11-02,"Esther L. George and Loretta J. Mester, each of whom preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent."
2017-03-15,"Neel Kashkari, who preferred at this meeting to maintain the existing target range for the federal funds rate."
2017-06-14,"Neel Kashkari, who preferred at this meeting to maintain the existing target range for the federal funds rate."
2017-12-13,"Charles L. Evans and Neel Kashkari, who preferred at this meeting to maintain the existing target range for the federal funds rate."
2019-06-19,"James Bullard, who preferred at this meeting to lower the target range for the federal funds rate by 25 basis points."
2019-07-31,"Esther L. George and Eric S. Rosengren, who preferred at this meeting to maintain the target range for the federal funds rate at 2-1/4 to 2-1/2 percent."
2019-09-18,"James Bullard, who preferred at this meeting to lower the target range to 1-1/2 to 1-3/4 percent; and Esther L. George and Eric S. Rosengren, who preferred to maintain the target range at 2 percent to 2-1/4 percent."
2019-10-30,"Esther L. George and Eric S. Rosengren, who preferred at this meeting to maintain the target range at 1-3/4 percent to 2 percent."
2020-03-15,"Loretta J. Mester, who was fully supportive of all of the actions taken to promote the smooth functioning of markets and the flow of credit to households and businesses but preferred to reduce the target range for the federal funds rate to 1/2 to 3/4 percent at this meeting."
2020-09-16,"Robert S. Kaplan, who prefers that the Committee retain greater policy rate flexibility; and Neel Kashkari, who prefers that the Committee indicate that it expects to maintain the current target range until core inflation has reached 2 percent on a sustained basis."
2022-03-16,"James Bullard, who preferred at this meeting to raise the target range for the federal funds rate by 0.5 percentage point to 1/2 to 3/4 percent. Patrick Harker voted as an alternate member at this meeting."
2022-06-15,"Esther L. George, who preferred at this meeting to raise the target range for the federal funds rate by 0.5 percentage point to 1-1/4 percent to 1-1/2 percent. Patrick Harker voted as an alternate member at this meeting."
2024-09-18,"Michelle W. Bowman, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting."
2024-12-18,"Beth M. Hammack, who preferred to maintain the target range for the federal funds rate at 4-1/2 to 4-3/4 percent."
2025-03-19,"Christopher J. Waller, who supported no change for the federal funds target range but preferred to continue the current pace of decline in securities holdings."
2025-07-30,"Michelle W. Bowman and Christopher J. Waller, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting. Absent and not voting was Adriana D. Kugler."
2025-09-17,"Stephen I. Miran, who preferred to lower the target range for the federal funds rate by 1/2 percentage point at this meeting."
2025-10-29,"Stephen I. Miran, who preferred to lower the target range by 1/2 percentage point at this meeting, and Jeffrey R. Schmid, who preferred no change to the target range at this meeting."
2025-12-10,"Stephen I. Miran, who preferred to lower the target range by 1/2 percentage point at this meeting; and Austan D. Goolsbee and Jeffrey R. Schmid, who preferred no change to the target range at this meeting."
2026-01-28,"Stephen I. Miran and Christopher J. Waller, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting."
2026-03-18,"Stephen I. Miran, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting."
2026-04-29,"Stephen I. Miran, who preferred to lower the target range by 1/4 percentage point at this meeting; and Beth M. Hammack, Neel Kashkari, and Lorie K. Logan, who supported maintaining the target range but did not support inclusion of an easing bias in the statement at this time."
2026-07-29,"Beth M. Hammack, Neel Kashkari, and Lorie K. Logan, who preferred to raise the target range for the federal funds rate by 1/4 percentage point at this meeting."
